epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.00361,2.90154,4.28579,2.63039,0.00107,0.2,0.00067,0.00027,3.82317,8.77606,3.50188,3.334e-05,3.334e-05,3.334e-05
2,17.5406,2.74502,4.42938,2.48469,0.0014,0.2,0.00097,0.00029,3.79722,7.73183,3.37972,8.32686e-05,8.32686e-05,8.32686e-05
3,26.3454,2.75397,4.35012,2.44546,0.02381,0.4,0.20882,0.10171,2.79188,6.86398,2.31034,0.000132839,0.000132839,0.000132839
4,34.893,2.52265,4.28769,2.34976,0.17647,0.6,0.48243,0.16323,2.41973,5.19207,1.78274,0.000181762,0.000181762,0.000181762
5,43.7066,2.55243,3.68453,2.36029,0.16667,0.6,0.48042,0.16526,2.38224,4.60439,1.66239,0.000229751,0.000229751,0.000229751
6,52.7689,2.28697,3.02534,2.19713,0.14286,0.8,0.56125,0.18717,2.25523,4.62915,1.528,0.000276524,0.000276524,0.000276524
7,61.5193,2.17773,3.01821,2.06524,0.1,1,0.83192,0.30604,1.8058,4.16751,1.41751,0.000321811,0.000321811,0.000321811
8,70.19,2.47661,3.52423,2.22147,0.08772,1,0.79976,0.34992,1.64733,4.11444,1.37365,0.000365347,0.000365347,0.000365347
9,78.604,2.14272,3.04992,1.93472,0.1,1,0.79083,0.38924,1.62063,3.82595,1.34619,0.000406882,0.000406882,0.000406882
10,87.1424,2.1285,2.87933,1.90324,0.09091,1,0.96167,0.36837,1.61771,3.74058,1.36647,0.000446178,0.000446178,0.000446178
11,96.036,2.08279,2.81477,1.80767,0.08333,1,0.96167,0.3562,1.57089,3.72962,1.34867,0.00048301,0.00048301,0.00048301
12,104.984,2.02415,2.81789,1.8157,0.07576,1,0.96167,0.43556,1.58289,3.68812,1.36969,0.000517172,0.000517172,0.000517172
13,113.153,2.18962,2.78834,1.87123,0.06543,1,0.995,0.39297,1.67805,3.43789,1.43086,0.000548475,0.000548475,0.000548475
14,121.274,2.09655,2.76162,1.88024,0.75435,1,0.995,0.48536,1.60802,3.40988,1.38803,0.000576747,0.000576747,0.000576747
15,129.826,2.11541,2.76504,1.91142,0.79289,1,0.995,0.47934,1.56332,3.13264,1.36526,0.000601839,0.000601839,0.000601839
16,139.305,2.20725,2.78216,1.93131,0.80076,1,0.995,0.48066,1.54537,3.22,1.37532,0.000623622,0.000623622,0.000623622
17,147.613,1.97221,2.72319,1.83037,1,0.94284,0.995,0.45913,1.65469,3.26275,1.71915,0.00064199,0.00064199,0.00064199
18,156.377,2.06475,2.65924,1.86013,0.99567,1,0.995,0.45232,1.94369,2.76742,2.18899,0.000656861,0.000656861,0.000656861
19,165.259,2.13317,2.76496,1.86927,0.94531,1,0.995,0.42269,1.85884,2.74654,1.92661,0.000668177,0.000668177,0.000668177
20,174.894,2.08232,2.6128,1.9153,1,0.6871,0.995,0.38943,1.88235,2.9298,2.03547,0.000675903,0.000675903,0.000675903
21,184.168,2.00272,2.53262,1.86487,1,0.48363,0.77682,0.21056,2.20968,3.6302,2.13591,0.000680032,0.000680032,0.000680032
22,192.769,2.0846,2.48092,1.9764,0.47932,0.4,0.40194,0.09813,2.38334,4.16785,2.54696,0.000680579,0.000680579,0.000680579
23,200.981,2.17553,2.60378,1.97281,0.99787,0.4,0.41624,0.08348,2.40275,4.23977,2.56082,0.00067759,0.00067759,0.00067759
24,209.332,2.07602,2.65719,1.93533,0.64869,0.4,0.38032,0.15226,2.28024,3.17,2.59029,0.000671131,0.000671131,0.000671131
25,218.48,2.09257,2.48792,1.86778,0.6541,0.8,0.59908,0.17543,2.57025,2.9478,3.35429,0.000661299,0.000661299,0.000661299
26,226.759,1.89268,2.36909,1.76121,0.79931,1,0.895,0.30181,2.48836,3.29747,3.06028,0.000648213,0.000648213,0.000648213
27,235.031,1.95105,2.3372,1.79276,0.72958,0.8,0.8,0.21801,2.02528,3.05978,2.38835,0.000632018,0.000632018,0.000632018
28,244.291,2.05127,2.6443,1.88077,0.76749,0.8,0.92,0.46441,1.89828,2.87836,2.22255,0.000612884,0.000612884,0.000612884
29,252.939,1.93021,2.35795,1.81228,0.76749,0.8,0.92,0.46441,1.89828,2.87836,2.22255,0.000591004,0.000591004,0.000591004
30,261.932,1.92588,2.36087,1.78083,0.97712,0.8,0.93786,0.49778,1.83799,2.83252,2.05264,0.000566596,0.000566596,0.000566596
31,270.624,1.96655,2.2985,1.81625,1,0.95221,0.995,0.52323,1.76631,2.60914,1.99657,0.000539897,0.000539897,0.000539897
32,279.379,1.88776,2.27131,1.7766,0.98026,0.8,0.96167,0.43339,1.76906,2.67557,1.89465,0.000511168,0.000511168,0.000511168
33,288.327,2.01436,2.44869,1.87985,0.98026,0.8,0.96167,0.43339,1.76906,2.67557,1.89465,0.000480687,0.000480687,0.000480687
34,296.986,1.93851,2.31266,1.75509,0.98777,0.8,0.90611,0.38685,1.73057,2.81077,1.81108,0.000444309,0.000444309,0.000444309
35,306.152,1.86693,2.31065,1.78398,0.86932,0.8,0.96167,0.44089,1.74305,2.77247,1.86383,0.000399689,0.000399689,0.000399689
36,314.496,1.74346,2.13039,1.63612,1,0.88364,0.995,0.44706,1.66542,2.61075,1.79696,0.000356815,0.000356815,0.000356815
37,323.135,1.88413,2.23696,1.74056,1,0.88364,0.995,0.44706,1.66542,2.61075,1.79696,0.000315855,0.000315855,0.000315855
38,331.631,1.96002,2.22997,1.74624,1,0.92333,0.995,0.50331,1.5485,2.37693,1.75122,0.000276971,0.000276971,0.000276971
39,340.131,2.08113,2.55299,1.80884,0.97819,0.8,0.96167,0.51765,1.4909,2.30417,1.76238,0.000240316,0.000240316,0.000240316
40,349.211,1.72716,1.95721,1.63465,0.97015,0.8,0.96167,0.49867,1.46764,2.29156,1.72245,0.000206034,0.000206034,0.000206034
41,357.345,1.55647,2.68531,1.58525,0.97015,0.8,0.96167,0.49867,1.46764,2.29156,1.72245,0.000174262,0.000174262,0.000174262
42,365.664,1.62791,2.52084,1.50953,0.96071,0.8,0.96167,0.50005,1.40277,2.41099,1.64267,0.000145125,0.000145125,0.000145125
43,375.036,1.63006,2.54206,1.48963,1,0.95862,0.995,0.51839,1.39158,2.50002,1.58212,0.000118737,0.000118737,0.000118737
44,383.128,1.51776,2.41489,1.44755,0.79462,0.77846,0.79192,0.50271,1.39093,2.56503,1.54089,9.52034e-05,9.52034e-05,9.52034e-05
45,391.248,1.59933,2.54611,1.59793,0.79462,0.77846,0.79192,0.50271,1.39093,2.56503,1.54089,7.4616e-05,7.4616e-05,7.4616e-05
46,399.436,1.4664,2.41169,1.47469,1,0.972,0.995,0.55618,1.39868,2.55898,1.52011,5.70564e-05,5.70564e-05,5.70564e-05
47,408.007,1.35552,2.38909,1.48611,0.99917,1,0.995,0.58829,1.40425,2.51084,1.49479,4.25941e-05,4.25941e-05,4.25941e-05
48,416.198,1.4179,2.34393,1.46319,0.97946,1,0.995,0.56712,1.41834,2.45809,1.49618,3.12859e-05,3.12859e-05,3.12859e-05
49,424.255,1.66092,2.42907,1.5276,0.97946,1,0.995,0.56712,1.41834,2.45809,1.49618,2.31767e-05,2.31767e-05,2.31767e-05
50,432.631,1.3824,2.32765,1.4046,0.96451,1,0.995,0.57267,1.44334,2.4232,1.50112,1.82983e-05,1.82983e-05,1.82983e-05
